amfi_code,var_95,cvar_95,scheme_name,category,plan,var_95_pct,cvar_95_pct
100016,-0.014363639988111142,-0.01806020763217176,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Regular,-1.4364,-1.806
100025,-0.003793246199522682,-0.004993763020560281,HDFC Short Term Debt Fund - Regular - Growth,Debt,Regular,-0.3793,-0.4994
100033,-0.019033535861558825,-0.023455762770703794,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Regular,-1.9034,-2.3456
101206,-0.013281661986281489,-0.017439425687129195,ABSL Frontline Equity Fund - Regular - Growth,Equity,Regular,-1.3282,-1.7439
101207,-0.026021248221061066,-0.03245905898704435,ABSL Small Cap Fund - Regular - Growth,Equity,Regular,-2.6021,-3.2459
101208,-0.0002686575130400159,-0.0004220820655857685,ABSL Liquid Fund - Regular - Growth,Debt,Regular,-0.0269,-0.0422
102885,-0.01261262882069356,-0.01549040525311211,UTI Nifty 50 Index Fund - Regular - Growth,Equity,Regular,-1.2613,-1.549
102886,-0.01922028344426503,-0.023250860269221213,UTI Mid Cap Fund - Regular - Growth,Equity,Regular,-1.922,-2.3251
102887,-0.015231617279157872,-0.019411182679158694,UTI Flexi Cap Fund - Regular - Growth,Equity,Regular,-1.5232,-1.9411
118632,-0.013954045870018117,-0.017618579320162156,Nippon India Large Cap Fund - Regular - Growth,Equity,Regular,-1.3954,-1.7619
118633,-0.013442525143024242,-0.016630178254004827,Nippon India Large Cap Fund - Direct - Growth,Equity,Direct,-1.3443,-1.663
118634,-0.025438111458963106,-0.032304072697818535,Nippon India Small Cap Fund - Regular - Growth,Equity,Regular,-2.5438,-3.2304
118635,-0.012553697284754662,-0.01617696049480912,Nippon India ETF Nifty 50 BeES,Equity,Direct,-1.2554,-1.6177
118636,-0.003804146068944347,-0.004918918420478294,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Regular,-0.3804,-0.4919
119092,-0.013749592076363814,-0.017327870956436054,Axis Bluechip Fund - Regular - Growth,Equity,Regular,-1.375,-1.7328
119093,-0.014225516634796053,-0.01748670974901306,Axis Bluechip Fund - Direct - Growth,Equity,Direct,-1.4226,-1.7487
119094,-0.018480276243938307,-0.02426005947837057,Axis Midcap Fund - Regular - Growth,Equity,Regular,-1.848,-2.426
119095,-0.02618842440959035,-0.03166729360598028,Axis Small Cap Fund - Regular - Growth,Equity,Regular,-2.6188,-3.1667
119120,-0.003938283121850805,-0.005013693153022244,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,Regular,-0.3938,-0.5014
119551,-0.012846228628842571,-0.01639680693408763,SBI Bluechip Fund - Regular Plan - Growth,Equity,Regular,-1.2846,-1.6397
119552,-0.013500970479935082,-0.017335699664199813,SBI Bluechip Fund - Direct Plan - Growth,Equity,Direct,-1.3501,-1.7336
119598,-0.0245070519056771,-0.03059526410880242,SBI Small Cap Fund - Regular Plan - Growth,Equity,Regular,-2.4507,-3.0595
119599,-0.02685943514961382,-0.03238412245049217,SBI Small Cap Fund - Direct Plan - Growth,Equity,Direct,-2.6859,-3.2384
120503,-0.01355001716250348,-0.01745055416552432,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Regular,-1.355,-1.7451
120504,-0.013728193295939772,-0.017494143685606606,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Direct,-1.3728,-1.7494
120505,-0.01889178619869274,-0.02434207039551981,ICICI Pru Midcap Fund - Regular - Growth,Equity,Regular,-1.8892,-2.4342
120506,-0.014388462899080912,-0.01940489860249691,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,Regular,-1.4388,-1.9405
120507,-0.00022157351389344714,-0.00037258039979649643,ICICI Pru Liquid Fund - Regular - Growth,Debt,Regular,-0.0222,-0.0373
120841,-0.013141782186804063,-0.01636273661834337,Kotak Bluechip Fund - Regular - Growth,Equity,Regular,-1.3142,-1.6363
120842,-0.01821853045255608,-0.02272497526268088,Kotak Emerging Equity Fund - Regular - Growth,Equity,Regular,-1.8219,-2.2725
120843,-0.014507941385630474,-0.018381077688017156,Kotak Flexicap Fund - Regular - Growth,Equity,Regular,-1.4508,-1.8381
120844,-0.00028479272823556107,-0.00041099591933232505,Kotak Liquid Fund - Regular - Growth,Debt,Regular,-0.0285,-0.0411
125497,-0.014591769071140459,-0.018309885328057912,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Direct,-1.4592,-1.831
125498,-0.018365320169601018,-0.02309379305316794,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,Direct,-1.8365,-2.3094
148567,-0.01355977641751056,-0.017622879905822203,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Regular,-1.356,-1.7623
148568,-0.014711531333512795,-0.01876476958423089,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Regular,-1.4712,-1.8765
148569,-0.017118192655621135,-0.021328305810328105,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,Regular,-1.7118,-2.1328
149322,-0.014473851983792741,-0.018401747612732604,DSP Top 100 Equity Fund - Regular - Growth,Equity,Regular,-1.4474,-1.8402
149323,-0.017882076201903473,-0.02260664210042033,DSP Midcap Fund - Regular - Growth,Equity,Regular,-1.7882,-2.2607
149324,-0.023483069386777154,-0.03103625202188441,DSP Small Cap Fund - Regular - Growth,Equity,Regular,-2.3483,-3.1036
